,filename,para_text,k_means_labels,topics
13,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-41.docx,"a. The Purchasers have paid a advance of Sale Consideration of Rs. 2,85,000/- (Rupees Two lakh Eighty Five Thousand only) by way of Cheque No. 000041 dated 13-11-2019 drawn on Bank of Baroda, Gandhi Sqaure Branch, Mysuru, the Vendor acknowledges receipt of the advance of sale consideration as mentioned above.",1,ADVANCE AMOUNT CONSIDERATION
13,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-43.docx,"a. The Purchaser has paid a advance of Sale Consideration of Rs. 5,00,000 (Rupees Five Lakh Only) by way of Cheque bearing No. 004787 dated 31-12-2019 drawn on ICICI Bank, Salt Lake, Sector 1 Branch, Kolkata-700064 the Vendor acknowledges receipt of the advance of sale consideration as mentioned above.",1,ADVANCE AMOUNT CONSIDERATION
14,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-43.docx,"b. The Purchaser has paid a advance of Sale Consideration of Rs. 5,00,000 (Rupees Five Lakh Only) by way of RTGS UTR No. ICICIR12021100701191333 dated 07-10-2021 the Vendor acknowledges receipt of the advance of sale consideration as mentioned above.",1,ADVANCE AMOUNT CONSIDERATION
15,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-43.docx,"c. The Purchaser has paid a advance of Sale Consideration of Rs. 1,56,250 (Rupees One Lakh Fifty Six Thousand Two Fifty Rupees Only) by way of Cheque bearing No. 004786 dated 31-12-2019 drawn on ICICI Bank, Salt Lake, Sector 1 Branch, Kolkata-700064 the Vendor acknowledges receipt of the advance of sale consideration as mentioned above.",1,ADVANCE AMOUNT CONSIDERATION
17,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,"4. The Vendor has today delivered vacant peaceful possession of the Schedule Property, free from any kind of attachments and encumbrances to the Purchaser herein.",6,
18,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,"5. The Vendor represents and assures the Purchaser that he has a clear, valid, subsisting, marketable, enforceable title in relation to the schedule property and that there is no legal impediment of whatsoever nature, for absolute sale of the Schedule Property in favour of the Purchaser herein. The Vendor has absolute right and power of alienation and disposal over the Schedule Property.",6,
19,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,"The Vendor represents and assures the Purchaser that the schedule property, is the absolute, exclusive property of the Vendor herein, acquired in the manner detailed above and that no other person/s, family, heir/s, has/have any manner of claim, right, title or interest over the same.",2,CLEAR TITLE
20,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,"The Vendor represents and assures the Purchaser that the Schedule Property is absolutely free from encumbrances of whatsoever nature, such as Court attachment, minor’s claim, maintenance claim, charge, lien, impendence , acquisition/ requisition proceedings, quasi judicial, revenue recovery proceedings/attachments, statutory debts, etc.",2,CLEAR TITLE
21,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,"The Vendor represents and assures the Purchaser that in regard to the Schedule Property, up to date property taxes have been paid to MUDA and the Vendor undertakes to indemnify the Purchaser against any such payment or expense.",6,
22,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,"The Vendor represents and assures the Purchaser that in regard to the Schedule Property, Khata has been transferred and registered in the name of the Vendor herein and that subsequent to the execution of this Sale Deed, the vendor has no objection for the Purchaser to get the Khata transferred to his name in the revenue records.",6,
23,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,The Vendor represents and assures the Purchaser that he has not entered into any kind of agreement to convey the scheduled property in favour of any other person other than the purchaser herein.,6,
24,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,"The Vendor has no objection for the said transfer of Khata, apart from transfer of Electricity and water Meters, if any in the name of the Purchaser herein.",6,
25,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,The Vendor has today delivered the xerox copies of the mother deeds pertaining to the larger composite property and original documents of title and other related revenue records pertaining to the schedule property to the Purchaser and the Purchaser acknowledges receipt of the same.,2,CLEAR TITLE
26,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,"The Vendor undertakes to indemnify the Purchaser against any loss, expense, damage, the Purchaser may incur/suffer either on account of defect in title or arising from the claim of the third parties, if any.",6,
27,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,"The Vendor represents and assures the Purchaser that he has not entered into any agreement for sale or for encumbering the Schedule Property, in any manner whatsoever and in this regard assures the Purchaser that the Schedule Property is absolutely free from encumbrances of whatsoever nature.",6,
28,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,"The Purchaser, upon execution of this Sale Deed is entitled to quietly, peacefully, hold, possess, enjoy and exploit the Schedule Property, in any manner the Purchaser deems fit and proper, without any let, hindrance or interference either from the Vendor or anyone claiming under the Vendor.",6,
29,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,The expenses of stamp duty and registration of this Sale Deed is borne by the Purchaser herein exclusively.,2,
30,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,SCHEDULE OF THE PROPERTY,5,
31,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,"All the piece and parcel of residential Site no. 15 formed in carved out of residentially converted land bearing Survey no.65/1 measuring 2 Acres 20 Guntas and Survey no.65/2 measuring 1 Acre 22 Guntas totally measuring 4 Acres 2 Guntas, situated at Kergalli Village, Jayapura Hobli, Mysuru Taluk and bounded on :",4,
32,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,East by : Site no 14,3,SCHEDULE EAST
33,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,Westby : Site no 16,3,SCHEDULE WEST
34,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,North by :  Road,3,SCHEDULE NORTH
35,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,South by : Private Land,3,SCHEDULE SOUTH
36,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,"Measurement: East to West : 9.00 Meters, North to South : 16.76 Meters totally measuring 150.84 Square Meters of Vacant Site.",4,
37,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,This Deed of Sale is prepared on information and documents provided by the parties and both the parties have read and understood the contents of the sale deed.,2,
38,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,"In witness whereof, the Vendor has executed this deed of absolute sale in favour of the purchaser on the day, month and the year first herein before written.",6,
39,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,Witnesses:-,5,
40,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,1,5,
41,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,(SHIVSHANKAR GANGADHAR DUDHALE ALIAS SHIVSHANKAR DUDHALE),0,NAME
42,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,VENDOR,6,
43,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,2,5,
44,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,(MANOJ GURU K N),3,PURCHASER NAME
45,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-15.docx,PURCHASER,6,
0,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,ABSOLUTE SALE DEED    SITE NO:19,4,
1,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,"This Deed of Sale of the Scheduled property is made on this 27th day of October, Two Thousand and Twenty One (27/10/2021) by ---",2,DATE
2,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,"Sri. SHIVSHANKAR GANGADHAR DUDHALE ALIAS SHIVSHANKAR DUDHALE, S/o.Sri.Gangadhar Dudhale, (PAN No.AISPD6976G, AADHAAR No. 3494 9796 2818) aged about 54 years, residing at No. 44/A/404, “Ameesh CHS”, Near Tilak Nagar Police Station, Chemburu, Tilak Nagar, Mumbai-400089 Hereinafter called as the VENDOR.",0,SELLER DETAILS
3,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,AND,5,
4,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,"SRI.SOMASUNDER.C.S (PAN No.BRYPS2162P, AADHAAR No. 5042 3588 3925) S/o. Shivalingappa, aged about 43 years, residing at No. 58, “Shree Shaila”, 1st Cross, Vibhuthipura, Veerabhadra Nagara, 2nd Phase, Benagaluru-560037. Hereinafter called the PURCHASER.",0,PURCHASER DETAILS
5,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,"WHEREAS, M/s.Janani Developers and Builders represented by its Partners Sri.B.K.Bharath Kumar Jain, Sri.Dilip Jain, Sri. Deepak Kumar.B, Sri.Jeethendra Kumar Ranka, Sri.M. Gouthamchand and Sri.Shivshankar Gangadhar Dudhale, alias Shivshankar Dudhale, the VENDOR herein acquired alienated land bearing survey no.65/1 measuring 2 Acres 20 Guntas and survey no.65/2 measuring 1 Acre 22 Guntas totally measuring 4 Acres 2 Guntas, situated at Kergalli Village, Jayapura Hobli, Mysuru Taluk which is more fully described in the schedule part from ENSO Realtors Private Limited represented by its Director Sri.Surendra Das under registered sale deed dated 13-02-2017 and the said sale deed has been registered in Office of the Sub-registrar Mysuru West, Mysuru as document No. MYW-1-09143-2016-17 of Book I stored at CD No. MYWD 79 dated 13-02-2017.",4,
6,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,"WHEREAS, the Vendor along with M/s. Janani Developers and Builders represented by its Partners Sri.B.K.Bharath Kumar Jain, Sri.Dilip Jain, Sri. Deepak Kumar.B, Sri.Jeethendra Kumar Ranka, Sri.M. Gouthamchand have obtained sanction for approval of layout plan in the meeting held by MUDA on 20.11.2018 under resolution No. MY.NA.PRA.SABHE: 02/2018-19 at subject No. 95 dated 24-11-2018. That being the owner in possession of the aforesaid land a Registered Partition Deed dated 29-08-2019 by and between M/s.Janani Developers and Builders represented by its Partners Sri.B.K.Bharath Kumar Jain, Sri.Dilip Jain, Sri.Deepak Kumar.B, Sri.Jeethendra Kumar Ranka, Sri.M. Gouthamchand and Sri Shivshankar Gangadhar Dudhale alias Shivshankar Dudhale and the same have been duly registered as document No. MYW-1-05548-2019-20 of Book-1 stored at C.D.No. MYWD 284 registered in the office of the Sub Registrar, Mysuru West, Mysuru. That in the said Partition Deed the alienated land bearing survey no.65/1 measuring 2 Acres 20 Guntas and survey no.65/2 measuring 1 Acre 22 Guntas totally measuring 4 Acres 2 Guntas, situated at Kergalli Village, Jayapura Hobli, Mysuru Taluk has been allotted to the share of Sri Shivshankar Gangadhar Dudhale Alias Shivshankar Dudhale and the said VENDOR Sri Shivshankar Gangadhar Dudhale alias Shivshankar Dhudale become the absolute owner of the schedule property.",4,
7,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,"WHEREAS, Sri.Shivshankar Gangadhar Dudhale alias Shivshankar Dudhale relinquished his right over the space left for road, park and other common amenities in favor of Governor, Government of Karnataka represented by Commissioner, MUDA, Mysuru by executing relinquishment deed, which is registered before Additional District Registrar, MUDA, Mysuru and registered as document no. MDA-1-00870-2019-20 of Book I stored at C.D.no.MDAD-226 dated 03-10-2019. Sri.Shivshankar Gangadhar Dudhale alias Shivshankar Dhudale obtained approved layout plan by the Town Planning Authority of MUDA, Mysuru vide order no. MY.NA.PRA/NA.YO/V.NA/30/2021-22 dated 09-09-2021 for formation of the residential sites on the above land and the MUDA Authorities have also released sites vide its letters bearing No. MY.NA.PRA/NA.YO/V.NA/30/2021-22 dated 09-09-2021 and issued Correct Dimension Report on 09-09-2021. The schedule property is one such site released by MUDA authorities. And the khata of the schedule property bearing Site No. 19 registered in favour of the vendor Sri. Shivashankar Gangadhar Dudhale by Mysore Urban Development Authority on 13-09-2021 vide No. ªÉÄÊ.£À.¥Áæ/SÁvÁ-42083/21-22 and paid tax to the concerned authorities and the vendor paid upto date site tax to the concerned authorities",0,"RELENQUISHMENT, PLAN APPROVAL AND RELEASE OF SITES"
9,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,Whereas both parties have broadly negotiated the terms and conditions of this sale transaction and both parties desire to reduce their terms of understanding in this regard into writing and hence this deed to sell.,2,AGREEMENT
10,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,NOW THEREFORE THIS MEMORANDUM OF UNDERSTANDING WITNESSETH AS UNDER:,0,MEMORANDUM
11,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,"1. The Vendor has offered to sell the Schedule Property to the Purchaser and the purchaser has accepted the said offer and has agreed and come forward to purchase the Schedule Property, free from encumbrances of whatsoever nature subject to terms and conditions hereinafter appearing.",6,
16,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-43.docx,"d. The Purchaser has paid a advance of Sale Consideration of Rs. 5,00,000 (Rupees Five Lakh Only) by way of RTGS UTR No. ICICIR12021020200188545 dated 02-02-2021 the Vendor acknowledges receipt of the advance of sale consideration as mentioned above.",1,ADVANCE AMOUNT CONSIDERATION
14,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-45.docx,"a. The Purchaser has paid a advance of Sale Consideration of Rs.5,00,000 (Rupees Five Lakh Only) by way of through Vijaya Bank (Bank of Baroda) Vijayanagar Branch, Mysore the Vendor acknowledges receipt of the advance of sale consideration as mentioned above.",1,ADVANCE AMOUNT CONSIDERATION
14,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-51.docx,"a. The Purchaser has paid a advance of Sale Consideration of Rs.5,00,000/- (Rupees Five Lakh Only) by way of Cheque No. 337742 dated 24-12-2020 drawn on Allahabad Bank, Kuvempungar Branch, Mysore",1,ADVANCE AMOUNT CONSIDERATION
14,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-53.docx,"a. The Purchaser has paid a advance of Sale Consideration of Rs.2,20,000/- (Rupees Two Lakh Twenty Thousand Only) by way of NEFT Ref No. 1000030349314 dated 28-01-2021,",1,ADVANCE AMOUNT CONSIDERATION
15,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-53.docx,"b. The Purchaser has paid a advance of Sale Consideration of Rs.4,00,000/- (Rupees Four Lakh Only) by way of NEFT Ref No. 0241423904 dated 27-10-2021 the Vendor acknowledges receipt of the advance of sale consideration as mentioned above.",1,ADVANCE AMOUNT CONSIDERATION
13,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No- 07.docx,"a. The Purchaser has paid a advance of Sale Consideration of Rs. 2,50,000 (Rupees Two Lakh Fifty Thousand only) by way of Cheque bearing No. 937153 dated 12-02-2020 drawn on Canara Bank, Siddartha Nagara Branch, Mysore the Vendor acknowledges receipt of the advance of sale consideration as mentioned above.",1,ADVANCE AMOUNT CONSIDERATION
14,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No- 07.docx,"b. The Purchaser has paid a advance of Sale Consideration of Rs. 5,00,000 (Rupees Five Lakh only) by way of Cheque bearing No. 937152 dated 12-02-2020 drawn on Canara Bank, Siddartha Nagara Branch, Mysore the Vendor acknowledges receipt of the advance of sale consideration as mentioned above.",1,ADVANCE AMOUNT CONSIDERATION
19,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,"4. The Vendor has today delivered vacant peaceful possession of the Schedule Property, free from any kind of attachments and encumbrances to the Purchaser herein.",6,
20,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,"5. The Vendor represents and assures the Purchaser that he has a clear, valid, subsisting, marketable, enforceable title in relation to the schedule property and that there is no legal impediment of whatsoever nature, for absolute sale of the Schedule Property in favour of the Purchaser herein. The Vendor has absolute right and power of alienation and disposal over the Schedule Property.",6,
21,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,"The Vendor represents and assures the Purchaser that the schedule property, is the absolute, exclusive property of the Vendor herein, acquired in the manner detailed above and that no other person/s, family, heir/s, has/have any manner of claim, right, title or interest over the same.",2,CLEAR TITLE
22,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,"The Vendor represents and assures the Purchaser that the Schedule Property is absolutely free from encumbrances of whatsoever nature, such as Court attachment, minor’s claim, maintenance claim, charge, lien, impendence , acquisition/ requisition proceedings, quasi judicial, revenue recovery proceedings/attachments, statutory debts, etc.",2,CLEAR TITLE
23,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,"The Vendor represents and assures the Purchaser that in regard to the Schedule Property, up to date property taxes have been paid to MUDA and the Vendor undertakes to indemnify the Purchaser against any such payment or expense.",6,
24,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,"The Vendor represents and assures the Purchaser that in regard to the Schedule Property, Khata has been transferred and registered in the name of the Vendor herein and that subsequent to the execution of this Sale Deed, the vendor has no objection for the Purchaser to get the Khata transferred to his name in the revenue records.",6,
25,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,The Vendor represents and assures the Purchaser that he has not entered into any kind of agreement to convey the scheduled property in favour of any other person other than the purchaser herein.,6,
26,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,"The Vendor has no objection for the said transfer of Khata, apart from transfer of Electricity and water Meters, if any in the name of the Purchaser herein.",6,
27,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,The Vendor has today delivered the xerox copies of the mother deeds pertaining to the larger composite property and original documents of title and other related revenue records pertaining to the schedule property to the Purchaser and the Purchaser acknowledges receipt of the same.,2,CLEAR TITLE
28,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,"The Vendor undertakes to indemnify the Purchaser against any loss, expense, damage, the Purchaser may incur/suffer either on account of defect in title or arising from the claim of the third parties, if any.",6,
29,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,"The Vendor represents and assures the Purchaser that he has not entered into any agreement for sale or for encumbering the Schedule Property, in any manner whatsoever and in this regard assures the Purchaser that the Schedule Property is absolutely free from encumbrances of whatsoever nature.",6,
30,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,"The Purchaser, upon execution of this Sale Deed is entitled to quietly, peacefully, hold, possess, enjoy and exploit the Schedule Property, in any manner the Purchaser deems fit and proper, without any let, hindrance or interference either from the Vendor or anyone claiming under the Vendor.",6,
31,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,The expenses of stamp duty and registration of this Sale Deed is borne by the Purchaser herein exclusively.,2,
32,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,SCHEDULE OF THE PROPERTY,5,
33,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,"All the piece and parcel of residential Site no. 19 formed in carved out of residentially converted land bearing Survey no.65/1 measuring 2 Acres 20 Guntas and Survey no.65/2 measuring 1 Acre 22 Guntas totally measuring 4 Acres 2 Guntas, situated at Kergalli Village, Jayapura Hobli, Mysuru Taluk and bounded on :",4,
34,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,East by : Site no 18,3,SCHEDULE EAST
35,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,West by : Site no 20,3,SCHEDULE WEST
36,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,North by :  9.00 Mtrs Road,3,SCHEDULE NORTH
37,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,South by : Private Land,3,SCHEDULE SOUTH
38,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,"Measurement: East to West : 9.00 Meters, North to South : 16.76 Meters totally measuring 150.84 Square Meters of Vacant Site.",4,
39,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,This Deed of Sale is prepared on information and documents provided by the parties and both the parties have read and understood the contents of the sale deed.,2,
40,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,"In witness whereof, the Vendor has executed this deed of absolute sale in favour of the purchaser on the day, month and the year first herein before written.",6,
41,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,Witnesses:-,5,
42,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,1,5,
43,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,(SHIVSHANKAR GANGADHAR DUDHALE ALIAS SHIVSHANKAR DUDHALE),0,NAME
44,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,VENDOR,6,
45,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,2,5,
46,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,(SRI.SOMASUNDER.C.S),5,
47,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-19.docx,PURCHASER,6,
0,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-24.docx,ABSOLUTE SALE DEED    SITE NO : 24,4,
1,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-24.docx,"This Deed of Sale of the Scheduled property is made on this 10th day of December, Two Thousand and Twenty One (10/12/2021) by ---",2,DATE
2,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-24.docx,"Sri. SHIVSHANKAR GANGADHAR DUDHALE ALIAS SHIVSHANKAR DUDHALE, S/o.Sri.Gangadhar Dudhale, (PAN No.AISPD6976G, AADHAAR No. 3494 9796 2818) aged about 54 years, residing at No. 44/A/404, “Ameesh CHS”, Near Tilak Nagar Police Station, Chemburu, Tilak Nagar, Mumbai-400089 Hereinafter called as the VENDOR.",0,SELLER DETAILS
3,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-24.docx,AND,5,
4,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-24.docx,"SMT. SHWETHA.G.P (PAN No.CRWPP3046A, AADHAAR No. 5690 4860 4560) D/o. Sri. Prakasha Reddy. G.H, aged about 29 years, residing at No. 20-A/A, Vasu Layout, K Block, Ramakrishana Nagar, Mysore-570022. Hereinafter called the PURCHASER.",0,PURCHASER DETAILS
5,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-24.docx,"WHEREAS, M/s.Janani Developers and Builders represented by its Partners Sri.B.K.Bharath Kumar Jain, Sri.Dilip Jain, Sri. Deepak Kumar.B, Sri.Jeethendra Kumar Ranka, Sri.M. Gouthamchand and Sri.Shivshankar Gangadhar Dudhale, alias Shivshankar Dudhale, the VENDOR herein acquired alienated land bearing survey no.65/1 measuring 2 Acres 20 Guntas and survey no.65/2 measuring 1 Acre 22 Guntas totally measuring 4 Acres 2 Guntas, situated at Kergalli Village, Jayapura Hobli, Mysuru Taluk which is more fully described in the schedule part from ENSO Realtors Private Limited represented by its Director Sri.Surendra Das under registered sale deed dated 13-02-2017 and the said sale deed has been registered in Office of the Sub-registrar Mysuru West, Mysuru as document No. MYW-1-09143-2016-17 of Book I stored at CD No. MYWD 79 dated 13-02-2017.",4,
6,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-24.docx,"WHEREAS, the Vendor along with M/s. Janani Developers and Builders represented by its Partners Sri.B.K.Bharath Kumar Jain, Sri.Dilip Jain, Sri. Deepak Kumar.B, Sri.Jeethendra Kumar Ranka, Sri.M. Gouthamchand have obtained sanction for approval of layout plan in the meeting held by MUDA on 20.11.2018 under resolution No. MY.NA.PRA.SABHE: 02/2018-19 at subject No. 95 dated 24-11-2018. That being the owner in possession of the aforesaid land a Registered Partition Deed dated 29-08-2019 by and between M/s.Janani Developers and Builders represented by its Partners Sri.B.K.Bharath Kumar Jain, Sri.Dilip Jain, Sri.Deepak Kumar.B, Sri.Jeethendra Kumar Ranka, Sri.M. Gouthamchand and Sri Shivshankar Gangadhar Dudhale alias Shivshankar Dudhale and the same have been duly registered as document No. MYW-1-05548-2019-20 of Book-1 stored at C.D.No. MYWD 284 registered in the office of the Sub Registrar, Mysuru West, Mysuru. That in the said Partition Deed the alienated land bearing survey no.65/1 measuring 2 Acres 20 Guntas and survey no.65/2 measuring 1 Acre 22 Guntas totally measuring 4 Acres 2 Guntas, situated at Kergalli Village, Jayapura Hobli, Mysuru Taluk has been allotted to the share of Sri Shivshankar Gangadhar Dudhale Alias Shivshankar Dudhale and the said VENDOR Sri Shivshankar Gangadhar Dudhale alias Shivshankar Dhudale become the absolute owner of the schedule property.",4,
7,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-24.docx,"WHEREAS, Sri.Shivshankar Gangadhar Dudhale alias Shivshankar Dudhale relinquished his right over the space left for road, park and other common amenities in favor of Governor, Government of Karnataka represented by Commissioner, MUDA, Mysuru by executing relinquishment deed, which is registered before Additional District Registrar, MUDA, Mysuru and registered as document no. MDA-1-00870-2019-20 of Book I stored at C.D.no.MDAD-226 dated 03-10-2019. Sri.Shivshankar Gangadhar Dudhale alias Shivshankar Dhudale obtained approved layout plan by the Town Planning Authority of MUDA, Mysuru vide order no. MY.NA.PRA/NA.YO/V.NA/30/2021-22 dated 09-09-2021 for formation of the residential sites on the above land and the MUDA Authorities have also released sites vide its letters bearing No. MY.NA.PRA/NA.YO/V.NA/ 30/2021-22 dated 09-09-2021 and issued Correct Dimension Report on 09-09-2021. The schedule property is one such site released by MUDA authorities. And the khata of the schedule property bearing Site No. 24 registered in favour of the vendor Sri. Shivashankar Gangadhar Dudhale by Mysore Urban Development Authority on 13-09-2021 vide No. ªÉÄÊ.£À.¥Áæ/SÁvÁ-42089/21-22 and paid tax to the concerned authorities and the vendor paid upto date site tax to the concerned authorities.",0,"RELENQUISHMENT, PLAN APPROVAL AND RELEASE OF SITES"
9,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-24.docx,Whereas both parties have broadly negotiated the terms and conditions of this sale transaction and both parties desire to reduce their terms of understanding in this regard into writing and hence this deed to sell.,2,AGREEMENT
10,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-24.docx,NOW THEREFORE THIS MEMORANDUM OF UNDERSTANDING WITNESSETH AS UNDER:,0,MEMORANDUM
11,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No-24.docx,"1. The Vendor has offered to sell the Schedule Property to the Purchaser and the purchaser has accepted the said offer and has agreed and come forward to purchase the Schedule Property, free from encumbrances of whatsoever nature subject to terms and conditions hereinafter appearing.",6,
13,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No- 12.docx,"a. The Purchaser has paid a advance of Sale Consideration of Rs. 2,11,375/- (Rupees Two Lakh Eleven Thousand Three Hundred and Seventy Five only) by way of Cheque bearing No. 775152 dated 07-12-2019 drawn on Karnataka Bank, V.V Mohalla Branch, Mysore the Vendor acknowledges receipt of the advance of sale consideration as mentioned above.",1,ADVANCE AMOUNT CONSIDERATION
14,/home/avinash/Downloads/Final copy/Final copy/golden springs FINAL -Site No- 12.docx,"b. The Purchaser has paid a advance of Sale Consideration of Rs. 5,00,000 (Rupees Five Lakh only) by way of Cheque bearing No. 775151 dated 07-12-2019 drawn on Karnataka Bank, V.V. Mohalla Branch, Mysore the Vendor acknowledges receipt of the advance of sale consideration as mentioned above.",1,ADVANCE AMOUNT CONSIDERATION
